geoid,county,cox,moore,lashar,wallace,harding,sefcik,write_ins_22,hogan,jealous,quinn,schlakman,write_ins_18,total_votes_cox,total_votes_hogan,cox_pct,hogan_pct
24001,Allegany,13833,6390,279,143,267,0,17,19224,3985,166,139,16,20786,23530,66.54960069277398,81.69995750106247
24003,Anne Arundel,73775,88375,3554,988,1268,0,588,157202,69399,1366,1052,187,167560,229206,44.029004535688706,68.58546460389344
24510,Baltimore City,11387,112984,1282,1231,1443,0,246,58360,123609,1055,1491,176,127342,184691,8.942061535078764,31.598724355815932
24005,Baltimore County,80759,136462,3993,1648,2409,0,702,198122,122773,1633,1492,256,224325,324276,36.00089156357963,61.09672007795828
24009,Calvert,18447,14236,504,142,242,0,89,29610,9216,303,130,25,33518,39284,55.03610000596695,75.37419814682823
24011,Caroline,6727,3276,176,56,140,0,21,9489,1900,82,28,6,10340,11505,65.05802707930367,82.47718383311604
24013,Carroll,38969,25155,1515,436,561,0,301,62445,11767,533,261,45,66501,75051,58.59911881024345,83.20342167326218
24015,Cecil,18159,8691,472,155,311,21,35,27063,7354,353,154,15,27668,34939,65.63177678184185,77.45785511892154
24017,Charles,15096,33633,408,283,414,0,78,31756,32100,274,193,37,49629,64360,30.417699329021335,49.34120571783717
24019,Dorchester,6169,4341,139,69,157,0,19,9205,3043,72,39,8,10825,12367,56.98845265588914,74.43195601196734
24021,Frederick,44307,51423,1700,555,722,0,306,72560,33355,746,499,59,98458,107219,45.0009140953503,67.67457260373628
24023,Garrett,8195,2402,194,52,138,0,15,9472,1395,86,48,7,10944,11008,74.88121345029239,86.04651162790698
24025,Harford,51930,40837,2033,618,914,0,301,85259,24012,756,461,91,96015,110579,54.085299172004376,77.10234312120747
24027,Howard,33110,83690,2464,802,713,0,419,80574,61146,800,752,111,120396,143383,27.500913651616333,56.194946402293155
24029,Kent,3718,4256,106,56,93,0,10,6370,2222,43,57,2,8183,8694,45.43565929365758,73.26892109500805
24031,Montgomery,58701,227161,3443,2444,1677,0,768,180018,224029,1922,2110,349,291750,408428,20.12030848329049,44.075822421577364
24033,Prince George's,17937,179968,1081,1693,1984,0,314,89925,225889,1469,1423,279,201284,318985,8.911289521273424,28.19098076712071
24035,Queen Anne's,12840,8577,416,120,212,0,89,19503,3268,99,86,15,22134,22971,58.01030089455137,84.90270340864569
24037,Saint Mary's,20670,14365,720,263,361,0,86,NA,NA,NA,NA,NA,36202,NA,57.09629302248494,NA
24039,Somerset,3974,2254,67,46,81,0,6,5203,2379,71,33,16,6382,7702,62.26888122845503,67.55388210854323
24041,Talbot,7497,7989,289,70,128,0,44,14081,3957,79,66,7,15947,18190,47.01197717439017,77.41066520065971
24043,Washington,27571,17006,646,257,483,0,75,38765,10894,491,268,43,45781,50461,60.22367357637448,76.82170389013298
24045,Wicomico,14612,12213,388,171,358,0,46,22659,10426,284,141,24,27617,33534,52.90943983778108,67.57022723206299
24047,Worcester,13433,8550,273,121,161,0,31,18076,5437,148,82,12,22448,23755,59.84052031361369,76.09345400968218
