Cargo Type,Port ID,Port_Name,clean_port_name,Region,Reporting Year,State,Trade Type,Units,Port Ranking,Percent Change,Volume
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2016,Massachusetts,EMPTY,Container TEUs,22,0,"1,360"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2016,Massachusetts,EXPORTS,Container TEUs,22,11.512885610,"84,333.85"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2016,Massachusetts,IMPORTS,Container TEUs,22,4.755414421,"121,066.88"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2016,Massachusetts,TOTAL,Container TEUs,22,8.139588280,"206,760.73"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2017,Massachusetts,EMPTY,Container TEUs,21,-100,0
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2017,Massachusetts,EXPORTS,Container TEUs,21,-6.566153448,"78,796.36"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2017,Massachusetts,IMPORTS,Container TEUs,21,7.945302629,"130,686.01"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2017,Massachusetts,TOTAL,Container TEUs,21,1.316323462,"209,482.37"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2018,Massachusetts,EMPTY,Container TEUs,22,0,0
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2018,Massachusetts,EXPORTS,Container TEUs,22,-5.486915893,"74,472.87"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2018,Massachusetts,IMPORTS,Container TEUs,22,10.847496224,"144,862.17"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2018,Massachusetts,TOTAL,Container TEUs,22,4.703340906,"219,335.04"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2019,Massachusetts,EMPTY,Container TEUs,22,0,0
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2019,Massachusetts,EXPORTS,Container TEUs,22,2.703440864,"76,486.2"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2019,Massachusetts,IMPORTS,Container TEUs,22,0.124249140,"145,042.16"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2019,Massachusetts,TOTAL,Container TEUs,22,0.999986140,"221,528.36"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2020,Massachusetts,EMPTY,Container TEUs,23,0,0
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2020,Massachusetts,EXPORTS,Container TEUs,23,-9.195802642,"69,452.68"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2020,Massachusetts,IMPORTS,Container TEUs,23,-1.056354925,"143,510"
CONTAINER,149,"Boston, MA","Boston, MA",Atlantic Coast,2020,Massachusetts,TOTAL,Container TEUs,23,-3.866629085,"212,962.68"
