geoid,name,variable,estimate,moe
2400400,"Adelphi CDP, Maryland",B01003_001,16977,1504
2400400,"Adelphi CDP, Maryland",B03002_012,8501,1380
2401450,"Andrews AFB CDP, Maryland",B01003_001,3419,516
2401450,"Andrews AFB CDP, Maryland",B03002_012,464,192
2406400,"Beltsville CDP, Maryland",B01003_001,18769,1428
2406400,"Beltsville CDP, Maryland",B03002_012,8143,1279
2406925,"Berwyn Heights town, Maryland",B01003_001,3317,37
2406925,"Berwyn Heights town, Maryland",B03002_012,1402,361
2407850,"Bladensburg town, Maryland",B01003_001,9591,26
2407850,"Bladensburg town, Maryland",B03002_012,2981,893
2408775,"Bowie city, Maryland",B01003_001,58113,80
2408775,"Bowie city, Maryland",B03002_012,4158,824
2409500,"Brentwood town, Maryland",B01003_001,3775,24
2409500,"Brentwood town, Maryland",B03002_012,2080,320
2413000,"Capitol Heights town, Maryland",B01003_001,4083,22
2413000,"Capitol Heights town, Maryland",B03002_012,568,288
2416550,"Cheverly town, Maryland",B01003_001,6191,51
2416550,"Cheverly town, Maryland",B03002_012,519,343
2418750,"College Park city, Maryland",B01003_001,34961,40
2418750,"College Park city, Maryland",B03002_012,6307,1104
2418850,"Colmar Manor town, Maryland",B01003_001,1544,353
2418850,"Colmar Manor town, Maryland",B03002_012,790,314
2420050,"Cottage City town, Maryland",B01003_001,1089,196
2420050,"Cottage City town, Maryland",B03002_012,506,160
2423025,"District Heights city, Maryland",B01003_001,5927,38
2423025,"District Heights city, Maryland",B03002_012,104,80
2424200,"Eagle Harbor town, Maryland",B01003_001,46,40
2424200,"Eagle Harbor town, Maryland",B03002_012,3,4
2425425,"Edmonston town, Maryland",B01003_001,1577,406
2425425,"Edmonston town, Maryland",B03002_012,924,357
2427400,"Fairmount Heights town, Maryland",B01003_001,1455,355
2427400,"Fairmount Heights town, Maryland",B03002_012,280,237
2428725,"Forest Heights town, Maryland",B01003_001,2652,42
2428725,"Forest Heights town, Maryland",B03002_012,736,257
2432500,"Glenarden city, Maryland",B01003_001,6341,32
2432500,"Glenarden city, Maryland",B03002_012,683,364
2434775,"Greenbelt city, Maryland",B01003_001,24602,59
2434775,"Greenbelt city, Maryland",B03002_012,4431,843
2441250,"Hyattsville city, Maryland",B01003_001,20790,57
2441250,"Hyattsville city, Maryland",B03002_012,7411,742
2445400,"Landover Hills town, Maryland",B01003_001,2075,382
2445400,"Landover Hills town, Maryland",B03002_012,1239,292
2445900,"Laurel city, Maryland",B01003_001,29438,68
2445900,"Laurel city, Maryland",B03002_012,5375,937
2453625,"Morningside town, Maryland",B01003_001,1119,256
2453625,"Morningside town, Maryland",B03002_012,286,219
2454275,"Mount Rainier city, Maryland",B01003_001,8290,23
2454275,"Mount Rainier city, Maryland",B03002_012,2564,573
2455400,"New Carrollton city, Maryland",B01003_001,13574,34
2455400,"New Carrollton city, Maryland",B03002_012,3615,850
2456375,"North Brentwood town, Maryland",B01003_001,734,145
2456375,"North Brentwood town, Maryland",B03002_012,342,128
2466635,"Riverdale Park town, Maryland",B01003_001,7321,27
2466635,"Riverdale Park town, Maryland",B03002_012,3943,599
2470850,"Seat Pleasant city, Maryland",B01003_001,4537,23
2470850,"Seat Pleasant city, Maryland",B03002_012,671,312
2479675,"University Park town, Maryland",B01003_001,2701,338
2479675,"University Park town, Maryland",B03002_012,276,172
2479875,"Upper Marlboro town, Maryland",B01003_001,621,150
2479875,"Upper Marlboro town, Maryland",B03002_012,0,13
