,,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jan,Export Loads,"  54,809 ","  64,664 ","  71,433 ","69,867.00","72,685.25","78,065.00","83,349.25","76,359.75","89,766.50","76,293.50","77,948.25","79,328.00","84,688.00","69,589.25"
Jan,Import Loads,"  55,634 ","  51,330 ","  64,939 ","62,271.00","62,405.00","69,836.00","79,732.75","84,185.50","101,301.50","104,149.75","109,756.50","108,884.00","130,776.75","127,596.75"
Jan,Export Empties,"  21,532 ","  10,705 ","  11,648 ","13,559.00","12,171.75","12,731.75","23,108.25","26,786.00","31,465.50","37,882.50","50,537.75","36,655.50","54,730.00","61,714.75"
Jan,Import Empties,"  6,019 ","  17,398 ","  11,245 ","8,602.75","11,504.25","6,638.75","5,805.75","5,513.00","5,982.50","2,208.00","1,868.00","2,366.00",774.00,"3,119.00"
Jan,Total TEUs,"  137,994 ","  144,097 ","  159,265 ","154,299.75","158,766.25","167,271.50","191,996.00","192,844.25","228,516.00","220,533.75","240,110.50","227,233.50","270,968.75","262,019.75"
,,,,,,,,,,,,,,,
Feb,Export Loads,"  58,763 ","  72,858 ","  67,183 ","75,707.75","79,139.00","81,435.50","76,149.50","82,064.75","85,826.50","82,103.75","76,641.75","80,834.00","87,466.25","88,582.00"
Feb,Import Loads,"  55,223 ","  60,737 ","  61,659 ","62,751.75","68,595.00","77,646.50","76,846.25","99,882.75","96,921.25","100,367.75","105,356.75","97,559.00","110,274.25","143,475.50"
Feb,Export Empties,"  11,786 ","  9,442 ","  14,368 ","9,976.00","12,404.00","13,725.50","17,263.50","35,020.75","30,437.00","34,156.00","44,037.75","27,917.50","48,493.50","58,880.50"
Feb,Import Empties,"  7,587 ","  12,012 ","  10,436 ","8,614.00","9,253.00","6,716.00","7,845.50","3,758.00","7,190.75","2,099.00","2,115.00","1,505.25","2,291.50","5,263.00"
Feb,Total TEUs,"  133,359 ","  155,049 ","  153,646 ","157,049.50","169,391.00","179,523.50","178,104.75","220,726.25","220,375.50","218,726.50","228,151.25","207,815.75","248,525.50","296,201.00"
,,,,,,,,,,,,,,,
Mar,Export Loads,"  64,383 ","  77,834 ","  76,702 ","79,521.00","87,648.75","93,016.25","96,564.50","89,454.50","92,384.00","98,648.25","89,282.00","90,761.00","94,845.75","95,803.00"
Mar,Import Loads,"  53,377 ","  63,306 ","  60,140 ","68,116.50","70,953.75","80,519.50","105,719.00","91,059.00","99,664.75","113,122.50","107,039.50","99,129.00","130,066.25","148,932.00"
Mar,Export Empties,"  9,678 ","  9,582 ","  13,509 ","10,840.00","11,722.00","14,422.50","17,134.25","28,672.50","32,487.75","38,151.50","41,711.75","26,347.25","51,092.00","66,771.00"
Mar,Import Empties,"  9,298 ","  16,540 ","  9,404 ","8,241.00","9,193.25","9,875.25","9,992.25","4,000.00","7,611.75","2,308.00","2,002.00","3,078.00","3,510.00","3,192.00"
Mar,Total TEUs,"  136,736 ","  167,262 ","  159,754 ","166,718.50","179,517.75","197,833.50","229,410.00","213,186.00","232,148.25","252,230.25","240,035.25","219,315.25","279,514.00","314,698.00"
,,,,,,,,,,,,,,,
Apr,Export Loads,"  65,024 ","  69,329 ","  73,538 ","75,192.50","83,128.25","91,701.25","92,568.25","82,322.50","85,623.00","86,251.25","85,378.00","71,158.25","95,618.25","99,588.75"
Apr,Import Loads,"  54,487 ","  56,636 ","  64,573 ","68,954.00","74,000.50","87,112.50","87,124.00","92,429.00","101,113.75","97,606.75","119,265.75","100,310.25","137,954.00","142,639.25"
Apr,Export Empties,"  9,799 ","  10,398 ","  12,182 ","15,513.00","13,132.75","16,490.00","23,099.50","35,977.75","34,927.25","33,311.00","38,579.50","32,604.50","50,909.00","78,724.00"
Apr,Import Empties,"  14,764 ","  10,756 ","  10,961 ","9,984.00","9,108.00","6,086.50","7,385.25","4,524.50","3,532.25","2,112.00","2,710.00","3,171.25","1,924.00","2,292.00"
Apr,Total TEUs,"  144,074 ","  147,119 ","  161,254 ","169,643.50","179,369.50","201,390.25","210,177.00","215,253.75","225,196.25","219,281.00","245,933.25","207,244.25","286,405.25","323,244.00"
,,,,,,,,,,,,,,,
May,Export Loads,"  64,106 ","  72,525 ","  71,395 ","83,205.75","84,840.75","91,686.25","91,801.50","80,729.00","85,824.00","85,157.25","88,064.50","72,160.00","99,717.25","97,704.75"
