Grantor,Grantee,grantee_clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Commerce/Maryland Tourism Board,PRINCE GEORGES COUNTY CVB,Prince Georges County Cvb,20772,2017,128041,Maryland Tourism Board Grant,Grant,1,06/30/2017 12:00:00 AM
Department of Health & Mental Hygiene/Prevention and Disease Control,Associated Black Charities,Associated Black Charities,21201,2010,93427,Minority Outreach,Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Education/EARLY CHILDHOOD EDUCATION,WESTED/PUBLICATIONS,Wested/publications,94107-1242,2014,1614541,GRANTS FOR STATE ASSESSMENTS,Grant,1,06/30/2014 12:00:00 AM
Department of Health & Mental Hygiene/Family Health Services & Primary Care,Maryland Patient Safety Center,Maryland Patient Safety Center,21075,2010,213800,Babies Born Healthy,Grant,1,06/30/2010 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Anacostia Watershed Society,Anacostia Watershed Society,20710,2017,174318,"Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2017 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,Washington County Museum of Fine Arts,Washington County Museum Of Fine Arts,21740,2009,55913,grant funding for the support of the County Arts Councils,Grant,1,06/30/2009 12:00:00 AM
Boards and Commissions/Domestic Violence Crisis & Support Services,"Domestic Violence Center of Howard County, Inc.","Domestic Violence Center Of Howard County, Inc.",21045,2014,172082.4,Domestic Violence Prevention,Grant,1,06/30/2014 12:00:00 AM
MD Small Business Development Financing Authority,Dacore Investment Group,Dacore Investment Group,20601,2018,103978.94,Maryland Small Business Development Financing Authority (MSBDFA) - Equity Participation Investment Program,Loan,1,06/30/2018 12:00:00 AM
Maryland Higher Education Commission - Aid to Non Public Institutions,Mount St Marys University,Mount St. Mary's University,21727,2015,1754630,Sellinger Formula Aid,Grant,1,06/30/2015 12:00:00 AM
Department of Business & Economic Development/Maryland State Arts Council,Olney Theatre Center for the Arts,Olney Theatre Center For The Arts,20830,2010,216007,"Grant funding for Arts Organizations, ARRA grant",Grant,1,06/30/2010 12:00:00 AM
Department Of Business and Economic Development/Maryland Industrial Development Financing Authority - MIDFA-,BRANCH BANKING & TRUST,Branch Banking & Trust,20814,2012,2000000,"Maryland Industrial Development Financing Authority - MIDFA, Loan Guarantee",Loan,1,06/30/2012 12:00:00 AM
Department of Business and Economic Development - Maryland State Arts Council,Charles County Arts Alliance Inc,"Charles County Arts Alliance, Inc.",20695 - 0697,2015,96696,MD State Arts Council Community Arts Development Grant,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,"FAIR HILL FARM, INC.","Fair Hill Farm, Inc.",21620-0390,2011,81010,COVER CROP,Grant,1,06/30/2011 12:00:00 AM
Maryland Energy Administration - LMI Community Grants,Habitat for Humanity Choptank FY15,Habitat For Humanity Choptank Fy15,21601,2015,170000,Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.,Grant,1,06/30/2015 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Maryland Coalition Against Sexual Assault, Inc. (MCASA)","Maryland Coalition Against Sexual Assault, Inc. (mcasa)",20907,2017,50827,Victim Assistance Discretionary Grant Training Program,Grant,1,06/30/2017 12:00:00 AM
Life Science Investment Fund,Rise Therapeutics,Rise Therapeutics,20850,2018,200000,Commercialization Investment,Loan,1,06/30/2018 12:00:00 AM
Department of Housing and Community Development - OAG Counseling,Asian American Homeowners,Asian American Homeowners,20852,2015,122000,OAG Counseling,Grant,1,06/30/2015 12:00:00 AM
Governor's Office of Crime Control and Prevention,The Tree House Child Advocacy Center of Montgomery County MD Inc.,The Tree House Child Advocacy Center Of Montgomery County Md Inc.,20855,2018,35000,Maryland Victims of Crime,Grant,1,06/30/2018 12:00:00 AM
Department of Housing and Community Development/RENTAL HOUSING PRODUCTION PRG - SPECIAL,Hilton- North Avenue LP,Hilton- North Avenue Lp,21114,2012,1156361,housing loan,Grant,1,06/30/2012 12:00:00 AM
Department of Business and Economic Development/MD Small Business Development Financing Authority,CATI INC,"Cati, Inc.",20743,2011,550000,"MSBDFA Contract Finance Line of Credit of $550,000 max",Loan,1,06/30/2011 12:00:00 AM
Military Department/Maryland Emergency Management Agency (MEMA),SOUTHERN MD HOSPITAL CENTER,Southern Md Hospital Center,20735,2017,165184.12,FEMA DR4261 Public Assistance,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Northwest Hospital Center,Northwest Hospital Center,21133-5103,2011,25080.36,Domestic Violence Case Manager,Grant,1,06/30/2011 12:00:00 AM
Department Of Business and Economic Development/MD State Arts Council  -,NATIONAL PHILHARMONIC ORCH & CHORALE/MONT CO INC,National Philharmonic Orch & Chorale/mont Co Inc,20852,2012,88000,Grants for Art Organization,Grant,1,06/30/2012 12:00:00 AM
Department of Natural Resources/RURAL LEGACY PROGRAM,Patuxent Tidewater Land Trust,Patuxent Tidewater Land Trust,20650,2012,4738.95,John Lancaster Farm Easement,Grant,1,06/30/2012 12:00:00 AM
